ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;2 014;2,001;30;8,990
TNN34MAL82X0;MICROCRED 2024-1 TF;1 000;0,100;30;9,990
TNKF195OZHN9;TAYSIR 2023-1 TF;10 000;0,800;30;9,990
TN46TGZRABR7;TAYSIR 2023-1 TV;20 000;1,600;30;9,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3 870;0,390;180;10,440
TN0008000622;BTA 6,3% Mars 2026;1 426;1,501;55;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19 845;2,000;30;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5 954;0,600;90;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2 977;2,999;30;8,300
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;3 970;4,000;30;8,990
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;59 553;59,999;30;8,450
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1 985;2,000;36;8,400
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4 962;4,999;153;8,650
TN0008000655;BTA 6,6% Mars 2027;7 046;7,000;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;69 455;7,000;20;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;59 533;6,000;16;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 923;1,000;21;8,990
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;13 395;1,350;12;8,990
TN0008000812;BTA 7,5% 13/12/2028;7 797;8,000;7;8,250
TN0008000721;BTA 7,2% Fevrier 2027;7 606;8,500;16;8,250
TN0008000655;BTA 6,6% Mars 2027;504;0,501;30;9,090
TNVE955M6R90;EMP NAT 2023 T3 CB TF;80 000;8,000;15;9,100
TN0008000721;BTA 7,2% Fevrier 2027;2 685;3,000;19;8,250
TN0008000721;BTA 7,2% Fevrier 2027;2 685;3,000;12;8,250
TN0008000739;BTA 7,4% Fevrier 2030;3 084;2,999;33;7,990
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;10 343;1,100;50;8,500
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;1 411;0,150;50;8,500
TN0008000739;BTA 7,4% Fevrier 2030;514;0,500;30;9,090
TN0008000622;BTA 6,3% Mars 2026;285;0,300;50;7,500
