ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN0008000770;BTA 7,3% Decembre 2027;1166.0;1.201;91.0;7.7
TN0008000770;BTA 7,3% Decembre 2027;146.0;0.15;55.0;7.5
TN0008000762;BTA 8% Novembre 2030;578.0;0.6;90.0;8.15
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;53000.0;5.3;13.0;8.6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;3000.0;0.3;12.0;8.6
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;5229.0;0.523;90.0;8.6
TN9FK1JVMO04;BTCT 52 semaines 04052026;90000.0;82.68;32.0;8.0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14418.0;1.5;11.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4806.0;0.5;11.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19224.0;2.0;32.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26914.0;2.8;90.0;8.5
TN0008000812;BTA 7,5% 13/12/2028;615.0;0.65;11.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;142.0;0.15;11.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;189.0;0.2;11.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;4063.0;4.3;11.0;8.25
TN0008000762;BTA 8% Novembre 2030;96.0;0.1;32.0;7.27
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9612.0;1.0;34.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;25241.0;2.626;60.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9612.0;1.0;20.0;8.5
