ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1.0;800.0;829.21;99.75
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN0008000739;BTA 7,4% Fevrier 2030;980.0;1.0;60.0;7.75
TN0008000739;BTA 7,4% Fevrier 2030;980.0;1.0;180.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;140.0;0.14;90.0;8.15
TNPDPODY2398;EMP NAT 2024 T3 CC TF;52400.0;5.24;19.0;8.6
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;14000.0;1.4;11.0;8.6
TN0008000812;BTA 7,5% 13/12/2028;904.0;0.961;8.0;7.5
TNVE955M6R90;EMP NAT 2023 T3 CB TF;6000.0;0.6;29.0;9.25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9961.0;1.0;172.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9961.0;1.0;19.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1495.0;0.15;172.0;8.5
TN87SF5T9RO3;BTA 9,8% 31 Octobre 2028;1891.0;1.999;92.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6973.0;0.7;7.0;8.5
