ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;943.0;1.0;24.0;7.5
TN0008000606;BTA 6,7% Avril 2028;753.0;0.8;10.0;7.5
TN0008000606;BTA 6,7% Avril 2028;4711.0;5.0;10.0;7.5
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20000.0;2.0;335.0;9.14
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4900.0;0.503;108.0;9.09
TN0008000747;BTA 7,2% Mai 2027;995.0;1.001;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9553.0;1.0;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28657.0;3.0;90.0;9.84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14329.0;1.5;31.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;47762.0;5.0;10.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;20060.0;2.1;31.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;71643.0;7.5;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3821.0;0.4;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;17195.0;1.8;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19105.0;2.0;90.0;9.84
TN0008000606;BTA 6,7% Avril 2028;942.0;1.0;7.0;8.99
TN0008000606;BTA 6,7% Avril 2028;753.0;0.8;5.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;62091.0;6.5;90.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28657.0;3.0;10.0;8.99
