ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;1.0;600.0;576.64;95.85
TN0008000747;BTA 7,2% Mai 2027;1.0;550.0;555.01;95.25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4646.0;0.5;21.0;8.99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;106856.0;11.5;21.0;8.99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13938.0;1.5;21.0;8.99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13938.0;1.5;31.0;8.99
TNVE955M6R90;EMP NAT 2023 T3 CB TF;3000.0;0.3;80.0;8.49
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;4000.0;0.4;80.0;8.49
TN0008000812;BTA 7,5% 13/12/2028;435.0;0.451;14.0;7.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;56000.0;5.6;11.0;9.1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9000.0;0.9;8.0;9.1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5500.0;0.55;9.0;9.1
TN0008000606;BTA 6,7% Avril 2028;2043.0;2.0;30.0;8.75
TN0008000606;BTA 6,7% Avril 2028;5253.0;5.558;29.0;9.59
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4800.0;0.48;30.0;8.75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29734.0;3.2;16.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;979.0;0.1;280.0;8.99
