ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000705;BTA 6,5% Juin 2025;1.0;74.0;77.07;99.43
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9788.0;1.0;90.0;9.84
TN0008000606;BTA 6,7% Avril 2028;226.0;0.24;30.0;7.6
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48937.0;5.0;10.0;8.99
TN0008000663;BTA 7,5% Juillet 2032;138.0;0.145;90.0;7.5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;77000.0;7.7;13.0;9.1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9000.0;0.9;13.0;9.1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;20554.0;2.1;10.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;2021.0;2.1;41.0;8.25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;979.0;0.999;20.0;8.2
TNNR35P1MXQ0;BTC 52 semaines 02052025;29116.0;28.725;34.0;8.45
