ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000606;BTA 6,7% Avril 2028;1.0;533.0;527.04;98.12
TNHOS86FY952;BTCT 13 semaines 28052025;0.0;0.0;0.0;0.0
TNHX4EUHLOV7;BTCT 26 semaines 28052025;0.0;0.0;0.0;0.0
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN9FK1JVMO04;BTCT 52 semaines 04052026;90000.0;83.388;32.0;8.0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;58000.0;5.8;18.0;8.6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000.0;1.0;9.0;8.6
TN0008000762;BTA 8% Novembre 2030;478.0;0.5;30.0;7.75
TN0008000721;BTA 7,2% Fevrier 2027;977.0;1.0;179.0;7.8
TNPDPODY2398;EMP NAT 2024 T3 CC TF;35000.0;3.5;9.0;7.1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;30000.0;3.0;9.0;7.1
TN0HHORW0CG7;BTCT 52 semaines 19052026;2370.0;2.37;330.0;8.02
TN0008000606;BTA 6,7% Avril 2028;3175.0;3.0;10.0;7.5
TN0008000622;BTA 6,3% Mars 2026;15019.0;15.0;30.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849.0;1.0;30.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849.0;1.0;21.0;8.5
TN0008000622;BTA 6,3% Mars 2026;4005.0;4.0;30.0;8.5
TN0008000655;BTA 6,6% Mars 2027;361.0;0.351;30.0;8.0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8864.0;0.9;91.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;41363.0;4.2;30.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5909.0;0.6;7.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78786.0;8.0;10.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4925.0;0.5;10.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;37424.0;3.8;29.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849.0;1.0;10.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19697.0;2.0;16.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6894.0;0.7;14.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24621.0;2.5;18.0;8.5
TN0008000812;BTA 7,5% 13/12/2028;3450.0;3.7;10.0;7.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;27576.0;2.8;30.0;8.5
