ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000606;BTA 6,7% Avril 2028;1.0;417.0;403.65;91.79
TN0008000796;BTA 7,5% Janvier 2028;1.0;160.0;162.59;94.37
TN0008000812;BTA 7,5% 13/12/2028;1.0;460.0;429.83;92.8
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14848.0;1.5;10.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4950.0;0.5;10.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2970.0;0.3;15.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;98981.0;10.0;30.0;8.99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;25487.0;25.699;7.0;8.15
TN0008000721;BTA 7,2% Fevrier 2027;4469.0;5.0;9.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;5363.0;6.0;16.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;3129.0;3.5;18.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;6257.0;7.0;10.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;2682.0;3.0;10.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;4469.0;5.0;10.0;8.25
TN0008000721;BTA 7,2% Fevrier 2027;447.0;0.5;10.0;8.25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49491.0;5.0;16.0;8.99
TN0008000655;BTA 6,6% Mars 2027;5027.0;5.001;16.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;69287.0;7.0;16.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4950.0;0.5;22.0;8.99
TN0008000622;BTA 6,3% Mars 2026;9494.0;10.0;35.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9899.0;1.0;8.0;8.99
