ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;20000.0;2.0;30.0;8.0
TN0008000812;BTA 7,5% 13/12/2028;3272.0;3.459;15.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;585.0;0.618;15.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;536.0;0.566;15.0;7.5
TN0008000606;BTA 6,7% Avril 2028;6115.0;6.14;10.0;7.5
TN0008000770;BTA 7,3% Decembre 2027;874.0;0.9;31.0;7.75
TN0008000796;BTA 7,5% Janvier 2028;30189.0;30.8;30.0;8.75
TN0008000739;BTA 7,4% Fevrier 2030;1229.0;1.25;31.0;7.75
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;60000.0;6.0;11.0;8.6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;50500.0;5.05;10.0;8.6
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;14500.0;1.45;10.0;8.6
TN0008000796;BTA 7,5% Janvier 2028;16060.0;15.6;91.0;8.51
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;32000.0;3.2;259.0;9.75
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;30500.0;3.05;10.0;8.75
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9600.0;1.0;30.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19200.0;2.0;17.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14400.0;1.5;7.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;36480.0;3.8;31.0;8.5
TN0008000796;BTA 7,5% Janvier 2028;1029.0;1.0;30.0;8.5
TN0008000796;BTA 7,5% Janvier 2028;2059.0;2.0;17.0;8.5
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;10000.0;1.0;63.0;8.35
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6240.0;0.65;14.0;8.5
TN0008000705;BTA 6,5% Juin 2025;161.0;0.17;10.0;7.5
TN0008000705;BTA 6,5% Juin 2025;171.0;0.181;10.0;7.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;86400.0;9.0;21.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11520.0;1.2;10.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;76800.0;8.0;10.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14434.0;1.5;23.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14434.0;1.5;38.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;57733.0;6.0;37.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7698.0;0.8;21.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9600.0;1.0;11.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;76977.0;8.0;29.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;134710.0;14.0;18.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6736.0;0.7;50.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8949.0;0.93;11.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14434.0;1.5;21.0;8.5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;76977.0;8.0;24.0;8.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48000.0;5.0;10.0;8.5
TN0008000796;BTA 7,5% Janvier 2028;3088.0;2.999;91.0;8.5
TN0008000770;BTA 7,3% Decembre 2027;243.0;0.25;31.0;7.75
