ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000705;BTA 6,5% Juin 2025;1.0;300.0;309.53;99.06
TN0008000812;BTA 7,5% 13/12/2028;1.0;460.0;431.29;92.81
TN0008000796;BTA 7,5% Janvier 2028;2474.0;2.8;359.0;8.64
TN0008000747;BTA 7,2% Mai 2027;380.0;0.4;90.0;8.55
TN0008000739;BTA 7,4% Fevrier 2030;940.0;1.0;13.0;8.99
TN0008000747;BTA 7,2% Mai 2027;951.0;1.0;90.0;9.84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;77274.0;8.0;15.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28978.0;3.0;10.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;35000.0;3.5;30.0;9.0
TN0008000812;BTA 7,5% 13/12/2028;435.0;0.448;17.0;7.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4444.0;0.46;62.0;7.49
