ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNNR35P1MXQ0;BTC 52 semaines 02052025;0.0;0.0;0.0;0.0
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TNLRQIP0OJY4;BTA 9% septembre 2029;6755.0;7.0;34.0;8.5
TNLRQIP0OJY4;BTA 9% septembre 2029;11580.0;12.0;34.0;8.5
TN0008000580;BTA 6,3% Octobre 2026;240.0;0.25;41.0;7.25
TN0008000762;BTA 8% Novembre 2030;1345.0;1.4;90.0;8.15
TN0008000762;BTA 8% Novembre 2030;1442.0;1.5;36.0;8.5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;89000.0;8.9;16.0;8.6
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;50000.0;5.0;15.0;8.6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;50000.0;5.0;14.0;8.6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;50000.0;5.0;10.0;8.6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;50000.0;5.0;13.0;8.6
TN0008000721;BTA 7,2% Fevrier 2027;15169.0;15.0;30.0;7.6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000.0;1.0;9.0;8.6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000.0;1.0;7.0;8.6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000.0;1.0;8.0;8.6
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;9700.0;0.97;90.0;8.15
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;8000.0;0.8;260.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;3263.0;3.47;21.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;583.0;0.62;21.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;535.0;0.568;21.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;1881.0;2.0;6.0;7.5
TN0008000812;BTA 7,5% 13/12/2028;3762.0;4.0;6.0;7.5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;1500.0;0.15;217.0;8.5
TN0008000812;BTA 7,5% 13/12/2028;283.0;0.3;38.0;7.75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10958.0;1.1;7.0;8.5
TN0008000762;BTA 8% Novembre 2030;2073.0;2.0;7.0;7.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;99618.0;10.0;16.0;8.5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;149426.0;15.0;10.0;8.5
