ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;2.0;100.0;102.02;99.35
TN0008000705;BTA 6,5% Juin 2025;2.0;410.0;429.37;99.56
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;24313.0;2.5;10.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7781.0;0.8;10.0;8.99
TN0008000747;BTA 7,2% Mai 2027;1316.0;1.4;31.0;8.9
TN0008000747;BTA 7,2% Mai 2027;1222.0;1.3;31.0;8.9
TN0008000747;BTA 7,2% Mai 2027;639.0;0.68;31.0;8.9
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4863.0;0.5;31.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;972.0;0.1;32.0;8.99
TN0008000622;BTA 6,3% Mars 2026;10200.0;10.0;300.0;7.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14588.0;1.5;10.0;8.99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;10000.0;1.0;299.0;9.0
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000.0;1.0;158.0;8.75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;15000.0;1.5;158.0;8.75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;8000.0;0.8;116.0;9.14
TN0008000705;BTA 6,5% Juin 2025;4755.0;5.001;10.0;8.99
TN0008000705;BTA 6,5% Juin 2025;2853.0;3.0;12.0;8.99
TN0008000622;BTA 6,3% Mars 2026;3878.0;3.79;270.0;7.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;136324.0;14.0;38.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5843.0;0.6;38.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;17528.0;1.8;38.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4869.0;0.5;38.0;8.99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;92000.0;9.2;18.0;9.1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;12000.0;1.2;18.0;9.1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19475.0;2.0;21.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29213.0;3.0;21.0;8.99
TN0008000747;BTA 7,2% Mai 2027;1967.0;2.001;21.0;8.99
TN0008000747;BTA 7,2% Mai 2027;2950.0;3.001;21.0;8.99
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;19026.0;1.5;354.0;8.99
