ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;1001.0;1.0;33.0;9.0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;20269.0;2.1;31.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;96517.0;10.0;10.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9652.0;1.0;20.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;38607.0;4.0;10.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48259.0;5.0;10.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;12000.0;1.2;20.0;9.6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15000.0;1.5;20.0;9.6
TN0008000663;BTA 7,5% Juillet 2032;1440.0;1.5;145.0;9.84
TNGNCCQYSMR1;BTA 9.9% decembre 2033;492.0;0.5;53.0;8.75
TN0008000655;BTA 6,6% Mars 2027;701.0;0.701;10.0;9.0
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;60000.0;6.0;12.0;9.1
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;50000.0;5.0;13.0;9.1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3379.0;0.35;10.0;8.99
TN0008000747;BTA 7,2% Mai 2027;1911.0;2.1;31.0;8.25
TN0008000622;BTA 6,3% Mars 2026;1893.0;2.0;21.0;8.99
TN0008000622;BTA 6,3% Mars 2026;1135.0;1.2;31.0;8.89
