ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3885.0;0.4;25.0;8.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4856.0;0.5;25.0;8.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5827.0;0.6;25.0;8.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7769.0;0.8;11.0;8.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29131.0;3.0;11.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;38792.0;4.0;10.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;198808.0;20.5;10.0;8.91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;39905.0;4.2;30.0;8.41
TN0008000622;BTA 6,3% Mars 2026;8364.0;8.2;30.0;8.25
TN0008000622;BTA 6,3% Mars 2026;5100.0;5.0;30.0;8.25
TN0008000622;BTA 6,3% Mars 2026;1428.0;1.4;30.0;8.25
TN0008000622;BTA 6,3% Mars 2026;222.0;0.218;30.0;8.25
TN0008000622;BTA 6,3% Mars 2026;124.0;0.122;30.0;8.25
TN0008000622;BTA 6,3% Mars 2026;1530.0;1.5;30.0;8.25
TNGNCCQYSMR1;BTA 9.9% decembre 2033;26836.0;27.7;7.0;8.0
TN0008000747;BTA 7,2% Mai 2027;187.0;0.2;30.0;7.25
TN0008000747;BTA 7,2% Mai 2027;3582.0;3.815;30.0;8.81
TN0008000747;BTA 7,2% Mai 2027;563.0;0.6;30.0;8.0
TN0008000762;BTA 8% Novembre 2030;29774.0;30.691;25.0;9.56
TN0008000812;BTA 7,5% 13/12/2028;526.0;0.55;10.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;3345.0;3.5;10.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;630.0;0.6;10.0;9.23
TN0008000812;BTA 7,5% 13/12/2028;268.0;0.28;10.0;8.25
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15000.0;1.5;15.0;8.2
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;25000.0;2.5;18.0;8.2
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;66508.0;7.0;18.0;8.91
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9500.0;0.95;14.0;8.99
TN0008000622;BTA 6,3% Mars 2026;10200.0;10.0;30.0;8.25
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2034.0;2.099;3.0;7.75
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;63000.0;6.3;14.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;15000.0;1.5;4.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;13000.0;1.3;9.0;8.99
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;5013.0;4.8;14.0;8.66
TN0008000812;BTA 7,5% 13/12/2028;2032.0;1.937;248.0;8.91
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;2000.0;0.2;77.0;9.25
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;3198.0;3.062;297.0;8.91
TN0008000812;BTA 7,5% 13/12/2028;239.0;0.25;10.0;8.25
TNNR35P1MXQ0;BTC 52 semaines 02052025;90000.0;89.446;10.0;8.0
TN0008000721;BTA 7,2% Fevrier 2027;3499.0;3.4;305.0;8.5
