ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5000.0;0.5;57.0;9.1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48271.0;5.0;20.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3862.0;0.4;15.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9655.0;1.0;15.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;43444.0;4.5;15.0;8.99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;7500.0;0.75;11.0;9.1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;60000.0;6.0;11.0;9.1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;52500.0;5.25;12.0;9.1
TN0008000655;BTA 6,6% Mars 2027;801.0;0.8;40.0;9.0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28963.0;3.0;20.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;48271.0;5.0;97.0;9.84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;38617.0;4.0;8.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;26067.0;2.7;6.0;8.99
TN0008000739;BTA 7,4% Fevrier 2030;4675.0;5.0;11.0;8.99
TN0008000796;BTA 7,5% Janvier 2028;39022.0;39.05;32.0;9.64
TN0008000622;BTA 6,3% Mars 2026;1893.0;2.0;22.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;1358.0;1.4;21.0;8.25
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4828.0;0.5;15.0;8.99
