ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN0008000606;BTA 6,7% Avril 2028;17918.0;16.589;120.0;8.52
TN0008000747;BTA 7,2% Mai 2027;1029.0;1.1;8.0;8.91
TN0008000622;BTA 6,3% Mars 2026;992.0;1.0;18.0;8.91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;30500.0;3.05;11.0;8.75
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;175.0;0.18;11.0;7.91
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7500.0;0.75;13.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;59000.0;5.9;13.0;8.99
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;4000.0;0.422;35.0;8.49
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;166.0;0.171;11.0;7.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;96710.0;10.0;11.0;8.91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;193420.0;20.0;29.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48262.0;5.0;11.0;8.41
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;966.0;0.1;11.0;8.91
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1451.0;1.5;29.0;7.5
