ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000705;BTA 6,5% Juin 2025;1.0;14.0;14.59;99.45
TN0008000788;BTA 7% JANVIER 2031;1500.0;1.5;31.0;8.25
TN0008000747;BTA 7,2% Mai 2027;7549.0;8.0;13.0;8.99
TN0008000762;BTA 8% Novembre 2030;26271.0;24.859;15.0;8.9
TN0008000705;BTA 6,5% Juin 2025;3833.0;4.0;17.0;9.0
TN0008000705;BTA 6,5% Juin 2025;10541.0;11.001;10.0;9.0
TN0008000705;BTA 6,5% Juin 2025;1438.0;1.501;30.0;8.99
TN0008000747;BTA 7,2% Mai 2027;798.0;0.801;30.0;9.0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4879.0;0.5;7.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;39032.0;4.0;106.0;9.84
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29274.0;3.0;90.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9758.0;1.0;10.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48790.0;5.0;23.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;529.0;0.55;13.0;8.25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29274.0;3.0;10.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;211.0;0.25;13.0;8.25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9758.0;1.0;15.0;8.99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;56500.0;5.65;14.0;9.1
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;12000.0;1.2;14.0;9.1
TN0008000812;BTA 7,5% 13/12/2028;269.0;0.28;13.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;1441.0;1.5;13.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;3363.0;3.5;13.0;8.25
TN0008000606;BTA 6,7% Avril 2028;4242.0;4.5;10.0;7.7
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2928.0;0.3;6.0;7.49
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4879.0;0.5;30.0;8.99
