ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000838;EMP NAT T1 2021 CB;15000.0;1.5;10.0;9.09
TN0008000747;BTA 7,2% Mai 2027;12245.0;12.3;30.0;8.49
TN0008000747;BTA 7,2% Mai 2027;2090.0;2.099;30.0;8.49
TN0008000622;BTA 6,3% Mars 2026;14749.0;15.15;30.0;8.84
TN0008000747;BTA 7,2% Mai 2027;18915.0;19.0;30.0;8.49
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7000.0;0.7;17.0;9.1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;36648.0;3.8;30.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4823.0;0.5;21.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14467.0;1.5;21.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;110909.0;11.5;21.0;8.99
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;2499.0;2.501;340.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;16878.0;1.75;14.0;8.99
TNGNCCQYSMR1;BTA 9.9% decembre 2033;2461.0;2.499;30.0;8.86
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18324.0;1.9;14.0;8.99
TN0008000606;BTA 6,7% Avril 2028;8538.0;9.0;28.0;9.26
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;946.0;0.098;25.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;109944.0;11.4;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6751.0;0.7;10.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19289.0;2.0;30.0;8.99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;59211.0;59.999;30.0;8.45
