ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNYI64DBCMP4;BTC 52 semaines 11042025;0.0;0.0;0.0;0.0
TN0008000606;BTA 6,7% Avril 2028;6981.0;7.0;182.0;8.47
TN0008000622;BTA 6,3% Mars 2026;27025.0;26.66;120.0;8.52
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;9700.0;10.0;91.0;8.9
TN0008000812;BTA 7,5% 13/12/2028;618.0;0.65;8.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;238.0;0.25;8.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;266.0;0.28;8.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;1900.0;2.0;4.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;1900.0;2.0;8.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;190.0;0.2;43.0;8.25
TN0008000812;BTA 7,5% 13/12/2028;420.0;0.403;120.0;8.49
TN0008000812;BTA 7,5% 13/12/2028;4940.0;5.2;30.0;8.25
TN0008000739;BTA 7,4% Fevrier 2030;536.0;0.545;182.0;8.1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;89500.0;8.95;11.0;8.99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;11500.0;1.15;11.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;1000.0;1.0;23.0;8.0
TN0008000622;BTA 6,3% Mars 2026;2027.0;2.0;120.0;8.5
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1257.0;1.299;95.0;7.75
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;243.0;0.25;84.0;7.91
TNMUZFAMCT05;BTCT 52 semaines 14102025;70000.0;67.332;10.0;8.0
TN3E0X2QE0C0;BTC 52 semaines 20052025;23123.0;23.0;10.0;8.0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28911.0;3.0;57.0;9.84
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;5783.0;0.6;7.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;62640.0;6.5;7.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3373.0;0.35;7.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9637.0;1.0;10.0;8.91
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48184.0;5.0;30.0;8.41
TN0008000770;BTA 7,3% Decembre 2027;1361.0;1.4;91.0;8.35
TN0008000770;BTA 7,3% Decembre 2027;1264.0;1.3;91.0;8.35
TN0008000770;BTA 7,3% Decembre 2027;661.0;0.68;91.0;8.35
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;15000.0;1.5;221.0;9.75
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;9000.0;0.9;30.0;9.75
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;10000.0;1.0;221.0;9.75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;5500.0;0.55;30.0;9.75
