ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000796;BTA 7,5% Janvier 2028;2650.0;3.0;358.0;8.64
TN0008000796;BTA 7,5% Janvier 2028;3798.0;4.3;358.0;8.64
TN0008000796;BTA 7,5% Janvier 2028;3533.0;4.0;358.0;8.69
TN0008000796;BTA 7,5% Janvier 2028;2385.0;2.7;358.0;8.67
TNX0K9990B08;EMP NAT 2024 T2 CB TF;15000.0;1.5;61.0;9.1
TN0008000796;BTA 7,5% Janvier 2028;2857.0;2.7;356.0;9.0
TN0008000796;BTA 7,5% Janvier 2028;6878.0;6.5;356.0;9.0
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23685.0;2.53;7.0;8.0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;57941.0;6.0;147.0;9.84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;193134.0;20.0;30.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;2000.0;0.2;35.0;9.0
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4300.0;0.43;35.0;9.0
TN0008000606;BTA 6,7% Avril 2028;112.0;0.119;57.0;7.5
TN0008000622;BTA 6,3% Mars 2026;284.0;0.3;29.0;7.5
TN0008000747;BTA 7,2% Mai 2027;950.0;1.0;90.0;9.84
TN0008000622;BTA 6,3% Mars 2026;568.0;0.6;30.0;7.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;67597.0;7.0;15.0;8.99
TN0008000580;BTA 6,3% Octobre 2026;344.0;0.35;90.0;7.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;41524.0;4.3;7.0;8.99
