ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000622;BTA 6,3% Mars 2026;1.0;59.0;57.02;96.63
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7000.0;0.718;110.0;9.09
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19511.0;2.0;90.0;8.99
TN0008000705;BTA 6,5% Juin 2025;959.0;1.0;30.0;8.99
TN0008000747;BTA 7,2% Mai 2027;18736.0;19.0;12.0;8.49
TN0008000747;BTA 7,2% Mai 2027;11833.0;11.999;12.0;8.49
TN0008000747;BTA 7,2% Mai 2027;2169.0;2.2;12.0;8.49
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29267.0;3.0;12.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;34145.0;3.5;15.0;8.99
TN0008000747;BTA 7,2% Mai 2027;6178.0;6.548;30.0;8.89
TN0008000721;BTA 7,2% Fevrier 2027;622.0;0.6;12.0;9.23
TN0008000812;BTA 7,5% 13/12/2028;1633.0;1.7;30.0;8.25
