ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000747;BTA 7,2% Mai 2027;188.0;0.2;22.0;7.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29154.0;3.0;30.0;8.99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;15000.0;1.5;324.0;9.5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19436.0;2.0;90.0;9.84
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9718.0;1.0;26.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6803.0;0.7;35.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19436.0;2.0;20.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3402.0;0.35;33.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;87462.0;9.0;30.0;8.99
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;45273.0;46.65;15.0;9.0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9718.0;1.0;30.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;631.0;0.6;12.0;9.23
TN0008000721;BTA 7,2% Fevrier 2027;3090.0;3.0;40.0;7.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7775.0;0.8;30.0;8.99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;60000.0;6.0;16.0;9.1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8000.0;0.8;16.0;9.1
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;5270.0;5.601;30.0;9.59
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;4863.0;5.0;12.0;7.5
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;778.0;0.8;12.0;7.5
TN0008000622;BTA 6,3% Mars 2026;8490.0;8.3;348.0;8.64
