ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000812;BTA 7,5% 13/12/2028;3314.0;3.445;11.0;7.99
TN0008000812;BTA 7,5% 13/12/2028;587.0;0.61;11.0;7.99
TN0008000812;BTA 7,5% 13/12/2028;538.0;0.559;11.0;7.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4892.0;0.5;20.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9783.0;1.0;20.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3913.0;0.4;20.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;44020.0;4.5;20.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3913.0;0.4;29.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;68476.0;7.0;11.0;8.99
TN0008000739;BTA 7,4% Fevrier 2030;8300.0;7.6;343.0;8.89
TN0008000747;BTA 7,2% Mai 2027;5927.0;6.001;22.0;9.0
TN0008000721;BTA 7,2% Fevrier 2027;4145.0;4.0;20.0;7.99
TN0008000721;BTA 7,2% Fevrier 2027;3110.0;3.0;20.0;7.99
TNVE955M6R90;EMP NAT 2023 T3 CB TF;4000.0;0.4;33.0;9.0
TNNR35P1MXQ0;BTC 52 semaines 02052025;60788.0;59.999;32.0;8.45
TNVE955M6R90;EMP NAT 2023 T3 CB TF;2000.0;0.2;33.0;9.0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29347.0;3.0;111.0;9.84
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;23660.0;2.55;7.0;8.0
TN0008000622;BTA 6,3% Mars 2026;706.0;0.75;4.0;8.99
TN0008000606;BTA 6,7% Avril 2028;2642.0;2.8;15.0;8.99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;74000.0;7.4;13.0;9.1
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5500.0;0.55;13.0;9.1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;70921.0;7.25;15.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;2935.0;0.3;11.0;7.49
