ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;5361.0;6.0;17.0;8.25
TN0008000747;BTA 7,2% Mai 2027;57272.0;57.239;30.0;8.75
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;29690.0;3.0;24.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3959.0;0.4;28.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4949.0;0.5;28.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14845.0;1.5;31.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4949.0;0.5;31.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2969.0;0.3;7.0;8.99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9897.0;1.0;90.0;8.99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;2400.0;0.24;13.0;9.6
