ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;1342.0;1.5;10.0;8.25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1487.0;1.499;74.0;8.7
TN0008000721;BTA 7,2% Fevrier 2027;4472.0;5.0;19.0;8.25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;991.0;0.999;45.0;8.35
TN0008000721;BTA 7,2% Fevrier 2027;4472.0;5.0;18.0;8.25
TN0008000762;BTA 8% Novembre 2030;751.0;0.7;10.0;9.24
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3967.0;0.4;90.0;8.99
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;10000.0;1.0;10.0;9.6
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495.0;0.499;25.0;8.3
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495.0;0.499;40.0;8.4
TN0008000580;BTA 6,3% Octobre 2026;395.0;0.401;10.0;7.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;25784.0;2.6;17.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4959.0;0.5;40.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4463.0;0.45;13.0;8.99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;79334.0;8.0;18.0;8.99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;5951.0;5.999;75.0;8.75
