ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;1.0;70.0;71.24;95.25
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1.0;19.0;19.39;99.43
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;16189.0;1.7;92.0;9.84
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;190455.0;20.0;30.0;8.99
TN0008000580;BTA 6,3% Octobre 2026;242.0;0.25;153.0;7.9
TN0008000580;BTA 6,3% Octobre 2026;971.0;1.0;92.0;9.84
TN0008000580;BTA 6,3% Octobre 2026;388.0;0.4;14.0;8.99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;62000.0;6.2;16.0;9.1
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;18000.0;1.8;16.0;9.1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9523.0;1.0;14.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;76182.0;8.0;20.0;8.99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;95228.0;10.0;20.0;8.99
TN0008000812;BTA 7,5% 13/12/2028;18915.0;18.001;20.0;8.99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;8000.0;0.8;92.0;9.75
