ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;6978;7,0;347;8,69
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48940;5,0;11;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7831;0,8;113;8,99
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;10000;0,8;11;9,09
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;60000;6,0;13;9,1
TN0008000622;BTA 6,3% Mars 2026;1696;1,8;7;8,99
TN0008000739;BTA 7,4% Fevrier 2030;498;0,5;90;9,84
TN0008000663;BTA 7,5% Juillet 2032;2674;2,8;34;8,1
TN0008000812;BTA 7,5% 13/12/2028;1059;1,0;11;9,23
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9788;1,0;18;8,99
TN0008000655;BTA 6,6% Mars 2027;994;1,0;18;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48940;5,0;8;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;16640;1,7;29;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6852;0,7;11;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;16640;1,7;15;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;78303;8,0;18;8,99
