ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4742;0,5;10;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4742;0,5;31;8,5
TN0008000838;EMP NAT T1 2021 CB;5000;0,5;27;9,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;10906;1,15;8;8,5
TN0008000580;BTA 6,3% Octobre 2026;432;0,45;27;7,25
TN0008000580;BTA 6,3% Octobre 2026;2211;2,3;22;8,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;12000;1,2;10;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;53500;5,35;17;8,6
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;75862;8,0;22;8,5
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;7000;0,7;29;8,0
