ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNEHPA8HGPD7;BTA 9,45% 13 juillet 2035;10 418;10,500;14;8,250
TN0008000655;BTA 6,6% Mars 2027;456;0,450;92;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;61 000;6,100;15;8,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;12 500;1,250;13;8,600
TNEHPA8HGPD7;BTA 9,45% 13 juillet 2035;496;0,500;29;7,900
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9 300;1,000;14;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;61 595;6,500;180;8,750
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18 953;2,000;11;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;4 739;0,500;109;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;47 381;5,000;11;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;47 381;5,000;11;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;67 821;7,000;4;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;75 809;8,000;18;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;3 317;0,350;90;8,500
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;18 953;2,000;4;8,500
TN0008000812;BTA 7,5% 13/12/2028;4 025;4,001;32;8,750
TN0008000812;BTA 7,5% 13/12/2028;9 055;9,000;32;8,750
