ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10500;1,05;10;8,6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;88500;8,85;15;8,6
TN0008000606;BTA 6,7% Avril 2028;1492;1,5;333;8,0
TN0008000622;BTA 6,3% Mars 2026;20180;20,0;91;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;12000;1,2;260;8,25
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10000;1,0;260;8,25
TN0008000812;BTA 7,5% 13/12/2028;614;0,65;10;7,5
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;738;0,716;17;7,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;76640;8,0;7;8,5
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;87;0,084;17;7,5
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;19;0,018;17;7,5
TN0008000606;BTA 6,7% Avril 2028;6615;6,65;333;8,0
TN0008000606;BTA 6,7% Avril 2028;1492;1,5;21;8,5
TN0008000721;BTA 7,2% Fevrier 2027;1964;2,0;179;8,1
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;15328;1,6;10;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;23950;2,5;30;8,5
TN0008000770;BTA 7,3% Decembre 2027;485;0,5;92;7,8
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;17244;1,8;7;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9580;1,0;49;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;70700;7,38;4;9,95
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;12454;1,3;7;8,5
