ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;55 742;4,500;325;9,950
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1 948;0,200;184;8,000
TN0008000721;BTA 7,2% Fevrier 2027;1 745;1,800;154;7,500
TNVE955M6R90;EMP NAT 2023 T3 CB TF;5 000;0,500;13;8,600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;55 000;5,500;13;8,600
TNQVHB5WZ2K2;EMP NAT 2022 T2 CB TF;297 289;24,000;325;9,950
TNX0K9990B08;EMP NAT 2024 T2 CB TF;38 951;4,000;31;8,500
TN0008000762;BTA 8% Novembre 2030;237;0,250;38;7,250
TN0008000762;BTA 8% Novembre 2030;2 846;3,000;30;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;34 082;3,500;6;8,500
TN0008000762;BTA 8% Novembre 2030;569;0,600;29;7,000
TN0008000762;BTA 8% Novembre 2030;1 328;1,400;90;7,900
TN0008000762;BTA 8% Novembre 2030;3 536;3,500;30;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 738;1,000;15;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29 213;3,000;30;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4 869;0,500;30;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2 150;0,215;90;8,150
TNX0K9990B08;EMP NAT 2024 T2 CB TF;12 659;1,300;129;8,500
TN0008000812;BTA 7,5% 13/12/2028;1 011;1,000;35;8,500
TNOXRGYG8RL8;BTA 8% 24 Novembre 2025;1 092;2,096;7;6,750
