ISIN,Libellé,Nombre de Titres,Montant,Echéance,Taux
Code ISIN,Libellé,,,,
,,,,,
TN0007250012,ADWYA (AA),,,,
Désignation de la valeur,Code ISIN de la,,,,
,valeur,,,,
,,,,,
BTA 7.5% Décembre 2028,TN0008000812,,5.0,,
BTA 8% Novembre 2030,TN0008000762,,0.0,,
BTA 8% Mars 2033,TN0008000804,,0.0,,
ISIN,Libelle,,,,
TN0008000598,BTA 6% Janvier 2024,4100.0,4.5,9.0,8.01
TN0008000713,"BTA 6,3% Decembre 2023",9860.0,10.0,30.0,8.01
TN0008000630,BTA 6% Octobre 2023,9787.0,10.001,30.0,8.01
TN0008000598,BTA 6% Janvier 2024,4556.0,5.0,10.0,8.01
TN0008000598,BTA 6% Janvier 2024,456.0,0.5,4.0,8.01
TN0008000630,BTA 6% Octobre 2023,7340.0,7.5,60.0,9.02
TN0008000747,"BTA 7,2% Mai 2027",4902.0,4.96,177.0,8.17
TN0008000747,"BTA 7,2% Mai 2027",296.0,0.3,91.0,8.01
TN0008000721,"BTA 7,2% Fevrier 2027",4371.0,4.5,91.0,8.01
TNOXRGYG8RL8,BTA 8% 24 Novembre 2025,4285.0,4.5,91.0,8.01
TN0008000747,"BTA 7,2% Mai 2027",4252.0,4.0,21.0,8.01
TN0008000291,"BTA 5,6% Aout 2022",7144.0,7.499,7.0,8.25
TN0008000291,"BTA 5,6% Aout 2022",1905.0,2.0,7.0,8.25
