ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29667;3,0;6;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;79112;8,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9889;1,0;91;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4945;0,5;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;17801;1,8;20;8,5
TN0008000747;BTA 7,2% Mai 2027;10258;9,935;343;8,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;80000;8,0;350;8,4
TN0008000812;BTA 7,5% 13/12/2028;853;0,975;14;7,5
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;52000;5,2;19;8,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;14700;1,47;12;8,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;6500;0,65;34;8,29
TN0008000721;BTA 7,2% Fevrier 2027;3035;3,1;11;7,25
TN0008000747;BTA 7,2% Mai 2027;5750;5,8;11;7,25
TN0008000606;BTA 6,7% Avril 2028;5647;5,696;32;9,1
TNAO0T7V1X56;EMP NAT 2024 T3 CB TV;630;0,065;90;7,5
TNLBC9INKV10;EMP NAT 2024 T3 CC TV;139275;14,511;90;7,5
TN0LAJZU8LX6;EMP NAT 2023 T3 CC TV;50000;5,237;90;7,5
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;113960;119,999;39;8,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14239;1,5;3;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;197780;20,0;24;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22745;2,3;31;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4945;0,5;94;8,5
TNLRQIP0OJY4;BTA 9% septembre 2029;2576;2,687;90;7,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;98890;10,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9889;1,0;31;8,5
TN0008000762;BTA 8% Novembre 2030;8216;8,001;14;8,5
TN0008000762;BTA 8% Novembre 2030;3081;3,0;28;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;75939;8,0;14;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28478;3,0;28;8,5
