ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;27493;2,9;7;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;109023;11,5;9;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14221;1,5;9;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5689;0,6;30;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18961;2,0;12;8,91
TN0008000580;BTA 6,3% Octobre 2026;2324;2,3;70;8,1
TNGNCCQYSMR1;BTA 9.9% decembre 2033;13541;13,999;90;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4741;0,5;16;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14221;1,5;30;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;11377;1,2;16;8,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10000;1,0;6;7,49
TN0008000747;BTA 7,2% Mai 2027;281;0,3;13;7,5
TN0008000580;BTA 6,3% Octobre 2026;2021;2,0;92;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;50000;5,0;5;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;7400;0,74;13;8,99
TN0008000739;BTA 7,4% Fevrier 2030;22815;21,0;70;8,1
TN0008000739;BTA 7,4% Fevrier 2030;11951;11,0;70;8,1
TN0008000747;BTA 7,2% Mai 2027;562;0,6;12;8,91
TN0008000812;BTA 7,5% 13/12/2028;105;0,11;14;7,91
TN0008000580;BTA 6,3% Octobre 2026;131;0,13;30;8,66
TN0008000580;BTA 6,3% Octobre 2026;2122;2,1;30;7,75
TN0008000580;BTA 6,3% Octobre 2026;151;0,149;30;8,66
