ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;70000;7,0;70;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000;1,0;30;8,49
TN0008000762;BTA 8% Novembre 2030;749;0,7;11;9,0
TNGNCCQYSMR1;BTA 9.9% decembre 2033;198;0,2;30;8,25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3953;0,4;10;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;44464;4,5;10;8,99
TNGNCCQYSMR1;BTA 9.9% decembre 2033;44937;45,499;91;9,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9881;1,0;10;8,99
TN0008000606;BTA 6,7% Avril 2028;190;0,2;30;7,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4941;0,5;10;8,99
TN0008000622;BTA 6,3% Mars 2026;2560;2,7;30;8,89
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;12351;1,25;30;8,99
TN0008000622;BTA 6,3% Mars 2026;1896;2,0;30;8,89
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14822;1,5;18;8,99
TN0008000747;BTA 7,2% Mai 2027;762;0,8;91;8,15
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14822;1,5;30;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14822;1,5;30;7,49
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18280;1,85;14;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;26678;2,7;14;8,99
