ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;37922;4,0;26;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;42471;4,3;1;8,5
TN0008000747;BTA 7,2% Mai 2027;1341;1,3;338;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;55000;5,5;20;8,6
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20400;2,04;12;8,6
TN0008000796;BTA 7,5% Janvier 2028;29228;30,0;30;7,75
TN0008000770;BTA 7,3% Decembre 2027;144;0,15;90;7,5
TN0008000770;BTA 7,3% Decembre 2027;965;1,0;180;7,8
TN0008000622;BTA 6,3% Mars 2026;7883;8,0;20;7,6
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;20000;2,0;20;8,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47402;5,0;12;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9481;1,0;30;8,5
TN0008000838;EMP NAT T1 2021 CB;1750;0,175;26;9,5
TN0008000812;BTA 7,5% 13/12/2028;3738;4,0;7;7,5
TN0008000812;BTA 7,5% 13/12/2028;1869;2,0;7;7,5
TN0HHORW0CG7;BTCT 52 semaines 19052026;2000;2,0;330;8,02
TN0008000770;BTA 7,3% Decembre 2027;2020;2,0;30;8,5
TN0008000770;BTA 7,3% Decembre 2027;1010;1,0;30;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;94803;10,0;22;8,5
