ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;65000;6,5;92;8,49
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;8000;0,804;272;8,49
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;13000;1,3;120;9,14
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;84600;8,46;14;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2500;0,25;14;8,99
TN0008000747;BTA 7,2% Mai 2027;4768;5,074;29;9,11
TN0008000747;BTA 7,2% Mai 2027;33376;35,52;29;9,11
TN0008000747;BTA 7,2% Mai 2027;784;0,835;29;8,91
TNGNCCQYSMR1;BTA 9.9% decembre 2033;95478;98,5;32;8,4
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48597;5,0;29;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14579;1,5;11;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6804;0,7;32;8,91
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;176;0,18;11;7,91
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10000;1,0;305;8,49
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;20000;2,0;85;8,49
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10000;1,0;32;8,5
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;167;0,171;11;7,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8748;0,9;32;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;972;0,1;32;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;20411;2,1;32;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48597;5,0;11;8,41
TN0008000705;BTA 6,5% Juin 2025;954;1,0;27;8,91
TN0008000705;BTA 6,5% Juin 2025;2385;2,501;27;8,91
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;34018;3,5;27;8,91
TN0008000622;BTA 6,3% Mars 2026;1991;2,0;11;8,91
