ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000770;BTA 7,3% Decembre 2027;1166;1,201;91;7,7
TN0008000770;BTA 7,3% Decembre 2027;146;0,15;55;7,5
TN0008000762;BTA 8% Novembre 2030;578;0,6;90;8,15
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;53000;5,3;13;8,6
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;3000;0,3;12;8,6
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;5229;0,523;90;8,6
TN9FK1JVMO04;BTCT 52 semaines 04052026;90000;82,68;32;8,0
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14418;1,5;11;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4806;0,5;11;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19224;2,0;32;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26914;2,8;90;8,5
TN0008000812;BTA 7,5% 13/12/2028;615;0,65;11;8,25
TN0008000812;BTA 7,5% 13/12/2028;142;0,15;11;8,25
TN0008000812;BTA 7,5% 13/12/2028;189;0,2;11;8,25
TN0008000812;BTA 7,5% 13/12/2028;4063;4,3;11;8,25
TN0008000762;BTA 8% Novembre 2030;96;0,1;32;7,27
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9612;1,0;34;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;25241;2,626;60;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9612;1,0;20;8,5
