ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000622;BTA 6,3% Mars 2026;10140;10,0;90;8,9
TN0008000622;BTA 6,3% Mars 2026;1988;2,0;90;8,91
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;20000;2,0;295;8,99
TN0008000812;BTA 7,5% 13/12/2028;733;0,7;15;8,91
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;400;0,04;28;8,25
TN0008000747;BTA 7,2% Mai 2027;3750;4,0;6;8,91
TN0008000747;BTA 7,2% Mai 2027;4735;5,05;10;7,4
TNPDPODY2398;EMP NAT 2024 T3 CC TF;12000;1,2;13;8,99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;92700;9,27;13;8,99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;5000;0,5;272;8,5
TN0008000721;BTA 7,2% Fevrier 2027;20525;20,0;30;8,6
TNGNCCQYSMR1;BTA 9.9% decembre 2033;12150;12,56;90;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;3794;0,4;15;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2846;0,3;15;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;18968;2,0;22;8,91
TNVE955M6R90;EMP NAT 2023 T3 CB TF;4000;0,423;106;8,49
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;21813;2,3;15;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;75869;8,0;17;8,91
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1000;0,1;259;9,25
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;1700;0,17;259;9,25
