ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000655;BTA 6,6% Mars 2027;2014;2,001;30;8,99
TNN34MAL82X0;MICROCRED 2024-1 TF;1000;0,1;30;9,99
TNKF195OZHN9;TAYSIR 2023-1 TF;10000;0,8;30;9,99
TN46TGZRABR7;TAYSIR 2023-1 TV;20000;1,6;30;9,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;3870;0,39;180;10,44
TN0008000622;BTA 6,3% Mars 2026;1426;1,501;55;8,5
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19845;2,0;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5954;0,6;90;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;2977;2,999;30;8,3
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;3970;4,0;30;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;59553;59,999;30;8,45
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;1985;2,0;36;8,4
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;4962;4,999;153;8,65
TN0008000655;BTA 6,6% Mars 2027;7046;7,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;69455;7,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;59533;6,0;16;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9923;1,0;21;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;13395;1,35;12;8,99
TN0008000812;BTA 7,5% 13/12/2028;7797;8,0;7;8,25
TN0008000721;BTA 7,2% Fevrier 2027;7606;8,5;16;8,25
TN0008000655;BTA 6,6% Mars 2027;504;0,501;30;9,09
TNVE955M6R90;EMP NAT 2023 T3 CB TF;80000;8,0;15;9,1
TN0008000721;BTA 7,2% Fevrier 2027;2685;3,0;19;8,25
TN0008000721;BTA 7,2% Fevrier 2027;2685;3,0;12;8,25
TN0008000739;BTA 7,4% Fevrier 2030;3084;2,999;33;7,99
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;10343;1,1;50;8,5
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;1411;0,15;50;8,5
TN0008000739;BTA 7,4% Fevrier 2030;514;0,5;30;9,09
TN0008000622;BTA 6,3% Mars 2026;285;0,3;50;7,5
