ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000739;BTA 7,4% Fevrier 2030;980;1,0;60;7,75
TN0008000739;BTA 7,4% Fevrier 2030;980;1,0;180;8,25
TN0008000812;BTA 7,5% 13/12/2028;140;0,14;90;8,15
TNPDPODY2398;EMP NAT 2024 T3 CC TF;52400;5,24;19;8,6
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;14000;1,4;11;8,6
TN0008000812;BTA 7,5% 13/12/2028;904;0,961;8;7,5
TNVE955M6R90;EMP NAT 2023 T3 CB TF;6000;0,6;29;9,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9961;1,0;172;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9961;1,0;19;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1495;0,15;172;8,5
TN87SF5T9RO3;BTA 9,8% 31 Octobre 2028;1891;1,999;92;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6973;0,7;7;8,5
