ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;24444;24,999;207;8,4
TN0008000812;BTA 7,5% 13/12/2028;9129;9,001;32;9,0
TN0008000812;BTA 7,5% 13/12/2028;4058;4,001;32;9,0
TN0008000812;BTA 7,5% 13/12/2028;894;0,965;11;7,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6569;0,7;7;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;75069;8,0;19;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28151;3,0;11;8,5
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9384;1,0;11;8,5
TN0008000622;BTA 6,3% Mars 2026;362;0,37;19;7,25
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;11000;1,1;8;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;30000;3,0;18;8,6
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14076;1,5;50;7,0
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;1564;1,6;90;8,0
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;55000;5,5;270;8,4
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;2933;3,0;7;7,5
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;12606;12,7;337;8,54
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;2640;2,66;337;8,54
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;4367;4,4;337;8,54
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;1439;1,45;337;8,54
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;6700;0,7;120;8,1
TNI5BPOGW9F1;BTA 9,89% 13 Juin 2033;2481;2,5;337;8,54
