ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;20 000;2,000;20;8,000
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;15 000;1,500;11;8,750
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;15 500;1,550;11;8,750
TN0008000580;BTA 6,3% Octobre 2026;289;0,301;18;7,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49 294;5,000;11;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;94 671;10,000;32;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 468;1,000;92;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8 380;0,850;19;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9 859;1,000;19;8,500
TN0008000762;BTA 8% Novembre 2030;2 682;2,800;60;8,500
TN0008000739;BTA 7,4% Fevrier 2030;1 564;1,600;29;7,750
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10 000;1,000;12;8,600
TN0008000838;EMP NAT T1 2021 CB;6 000;0,600;20;8,600
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;89 000;8,900;20;8,600
TN0008000762;BTA 8% Novembre 2030;287;0,300;15;7,000
TN0008000606;BTA 6,7% Avril 2028;2 971;3,000;29;8,200
TN0008000762;BTA 8% Novembre 2030;8 622;9,000;90;8,300
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19 718;2,000;341;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47 336;5,000;11;8,500
TNX0K9990B08;EMP NAT 2024 T2 CB TF;11 338;1,150;5;8,500
