ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1 400;1 400;182;8 800
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;55 000;5 500;13;9 950
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49 396;5 000;22;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 819;1 500;20;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 880;1 000;30;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7 904;0 800;30;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6 916;0 700;10;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 819;1 500;30;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;113 609;11 500;13;8 990
TN0008000655;BTA 6,6% Mars 2027;1 505;1 500;30;8 990
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;30 000;3 000;17;9 100
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;34 577;3 500;155;9 840
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;268 216;27 150;154;9 840
