ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNX0K9990B08;EMP NAT 2024 T2 CB TF;17945;1,8;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;79755;8,0;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9970;1,0;360;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;12961;1,3;11;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6481;0,65;14;8,5
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;3900;0,407;88;8,1
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;7000;0,7;31;8,0
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;5000;0,5;31;8,0
TN0008000747;BTA 7,2% Mai 2027;3629;3,5;8;7,6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;50000;5,0;10;8,6
TN0008000747;BTA 7,2% Mai 2027;518;0,5;91;8,0
TN0008000747;BTA 7,2% Mai 2027;8813;8,499;91;8,0
TN0008000580;BTA 6,3% Octobre 2026;174;0,181;91;7,5
TNFGSJPDAWE9;ENDA TAMWEEL 2023-1 CA TV;12500;1,0;30;9,25
TN0008000580;BTA 6,3% Octobre 2026;964;1,0;91;7,5
TN0008000721;BTA 7,2% Fevrier 2027;1000;1,0;30;9,25
TN0008000721;BTA 7,2% Fevrier 2027;1100;1,1;30;9,25
TN0008000812;BTA 7,5% 13/12/2028;1883;2,0;21;7,5
TN0008000812;BTA 7,5% 13/12/2028;1883;2,0;7;7,5
TN0008000812;BTA 7,5% 13/12/2028;612;0,65;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;142;0,15;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;189;0,2;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;4048;4,3;10;7,5
TN0008000812;BTA 7,5% 13/12/2028;620;0,6;10;8,23
TN0008000721;BTA 7,2% Fevrier 2027;2024;2,0;179;7,5
TN0008000721;BTA 7,2% Fevrier 2027;10120;10,0;30;7,6
TNC6WBFURIQ8;EMP NAT 2024 T2 CB TV;40000;4,0;360;9,97
TNC6WBFURIQ8;EMP NAT 2024 T2 CB TV;100000;10,0;360;9,72
TN0008000721;BTA 7,2% Fevrier 2027;7084;7,0;30;7,6
TN0008000721;BTA 7,2% Fevrier 2027;3036;3,0;30;7,6
TN0008000721;BTA 7,2% Fevrier 2027;1467;1,45;30;7,6
TN0008000721;BTA 7,2% Fevrier 2027;222;0,22;30;7,6
TN0008000721;BTA 7,2% Fevrier 2027;126;0,125;30;7,6
TNGNCCQYSMR1;BTA 9.9% decembre 2033;1876;1,949;57;8,55
