ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000739;BTA 7,4% Fevrier 2030;427;0 440;180;7 850
TN0008000747;BTA 7,2% Mai 2027;395;0 400;30;7 900
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;934;1 000;7;8 500
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;2 802;3 000;21;8 500
TNOODT102PF5;BTA 9,87% 22 Octobre 2031;5 605;6 000;20;8 500
TN0008000739;BTA 7,4% Fevrier 2030;8 941;8 499;208;8 400
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;93 878;10 000;30;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;35 674;3 800;30;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11 266;1 200;6;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;28 164;3 000;30;8 500
TN0008000721;BTA 7,2% Fevrier 2027;10 483;10 500;208;8 400
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 482;1 010;30;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;39 898;4 250;30;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;18 776;2 000;27;8 500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3 756;0 400;90;8 500
TN0008000762;BTA 8% Novembre 2030;2 029;2 001;27;8 500
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;59 000;5 900;15;8 600
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;9 000;0 900;9;8 600
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;3 500;0 350;90;8 250
TN0008000747;BTA 7,2% Mai 2027;3 065;2 999;6;7 500
TN0008000747;BTA 7,2% Mai 2027;10 219;10 000;6;7 500
TN0008000747;BTA 7,2% Mai 2027;15 328;14 999;6;7 500
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;25 000;2 500;27;8 000
