ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4646;0,5;21;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;106856;11,5;21;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13938;1,5;21;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;13938;1,5;31;8,99
TNVE955M6R90;EMP NAT 2023 T3 CB TF;3000;0,3;80;8,49
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;4000;0,4;80;8,49
TN0008000812;BTA 7,5% 13/12/2028;435;0,451;14;7,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;56000;5,6;11;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9000;0,9;8;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5500;0,55;9;9,1
TN0008000606;BTA 6,7% Avril 2028;2043;2,0;30;8,75
TN0008000606;BTA 6,7% Avril 2028;5253;5,558;29;9,59
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;4800;0,48;30;8,75
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29734;3,2;16;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;979;0,1;280;8,99
