ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;1300;1,3;339;8,5
TNPDPODY2398;EMP NAT 2024 T3 CC TF;65000;6,5;27;9,95
TNPDPODY2398;EMP NAT 2024 T3 CC TF;55000;5,5;27;9,95
TN0008000747;BTA 7,2% Mai 2027;4758;5,036;30;9,19
TN0008000606;BTA 6,7% Avril 2028;33273;35,25;30;9,19
TN0008000747;BTA 7,2% Mai 2027;789;0,835;30;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;9788;1,0;90;9,84
TN0008000606;BTA 6,7% Avril 2028;226;0,24;30;7,6
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48937;5,0;10;8,99
TN0008000663;BTA 7,5% Juillet 2032;138;0,145;90;7,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;77000;7,7;13;9,1
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;9000;0,9;13;9,1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;20554;2,1;10;8,99
TN0008000812;BTA 7,5% 13/12/2028;2021;2,1;41;8,25
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;979;0,999;20;8,2
TNNR35P1MXQ0;BTC 52 semaines 02052025;29116;28,725;34;8,45
