ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;64000;6,4;19;8,6
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;13500;1,35;9;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;1024682;104,0;180;9,95
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14780;1,5;12;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19706;2,0;12;8,5
TN0008000812;BTA 7,5% 13/12/2028;818;0,8;19;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9853;1,0;142;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;29559;3,0;79;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;98528;10,0;12;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;39411;4,0;90;7,8
TNX0K9990B08;EMP NAT 2024 T2 CB TF;123159;12,5;195;7,8
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49264;5,0;90;7,8
TNX0K9990B08;EMP NAT 2024 T2 CB TF;7883;0,8;19;8,5
TN0008000663;BTA 7,5% Juillet 2032;2808;3,0;8;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22662;2,3;6;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;22662;2,3;5;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;68969;7,0;33;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6897;0,7;33;8,5
TN0008000663;BTA 7,5% Juillet 2032;1685;1,8;7;8,5
