ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000705;BTA 6,5% Juin 2025;479,0;0,5;30,0;8,99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;70000,0;7,0;91,0;8,99
TN0008000812;BTA 7,5% 13/12/2028;3198,0;3,333;10,0;7,99
TN0008000812;BTA 7,5% 13/12/2028;587,0;0,611;10,0;7,99
TN0008000812;BTA 7,5% 13/12/2028;538,0;0,56;10,0;7,99
TN0008000812;BTA 7,5% 13/12/2028;3160,0;3,0;59,0;9,0
TN0008000721;BTA 7,2% Fevrier 2027;2000,0;2,0;325,0;8,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4773,0;0,5;39,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28635,0;3,0;14,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;6682,0;0,7;18,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2864,0;0,3;7,0;7,49
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;75406,0;7,9;18,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2864,0;0,3;14,0;8,99
TN0008000812;BTA 7,5% 13/12/2028;5180,0;5,4;42,0;8,25
TN0008000747;BTA 7,2% Mai 2027;985,0;1,0;11,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;109768,0;11,5;30,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14318,0;1,5;30,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;4773,0;0,5;21,0;8,99
TN0008000747;BTA 7,2% Mai 2027;2068,0;2,1;30,0;7,99
TN0008000747;BTA 7,2% Mai 2027;147,0;0,149;30,0;8,74
TN0008000747;BTA 7,2% Mai 2027;128,0;0,13;30,0;8,74
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9545,0;1,0;11,0;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2625,0;0,275;30,0;8,49
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;19090,0;2,0;43,0;8,99
