ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNGNCCQYSMR1;BTA 9.9% decembre 2033;28 910;29 359;61;9 060
TNGNCCQYSMR1;BTA 9.9% decembre 2033;18 000;18 000;7;9 270
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;70 000;7 000;12;9 100
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;70 000;7 000;13;9 100
TNVE955M6R90;EMP NAT 2023 T3 CB TF;30 000;3 000;90;8 990
TNVE955M6R90;EMP NAT 2023 T3 CB TF;40 000;4 000;180;8 990
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;5 000;0 500;90;9 640
TN0008000655;BTA 6,6% Mars 2027;3 498;3 501;30;9 200
TN0008000655;BTA 6,6% Mars 2027;6 495;6 500;30;9 200
TNVFSFLG1FH4;EMP NAT 2022 T4 CC TV;8 000;0 800;270;9 000
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;21 650;2 200;58;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;39 856;4 050;30;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;47 237;4 800;12;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 841;1 000;13;8 990
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;59 046;6 000;15;8 990
TN0008000812;BTA 7,5% 13/12/2028;1 162;1 200;16;8 250
TN0008000747;BTA 7,2% Mai 2027;1 234;1 300;28;8 200
TN0008000622;BTA 6,3% Mars 2026;41 735;44 124;28;8 990
TNHUVZNLATV4;BTA 8% 31 Janvier 2029;499;0 500;359;8 300
TNNR35P1MXQ0;BTC 52 semaines 02052025;61 187;60 000;9;8 100
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;96 402;10 000;20;8 990
