ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;2274;2,3;304;8,91
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;7512;7,701;269;8,91
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;8390;8,601;269;8,91
TNCR2TMAK1K8;EMP NAT 2023 T2 CB TF;13793;1,5;7;7,5
TN0008000622;BTA 6,3% Mars 2026;6560;6,597;31;8,81
TN0008000663;BTA 7,5% Juillet 2032;1441;1,522;31;8,81
TN0008000747;BTA 7,2% Mai 2027;3190;3,4;26;8,91
TN0008000812;BTA 7,5% 13/12/2028;3288;3,441;10;7,91
TN0008000812;BTA 7,5% 13/12/2028;588;0,615;10;7,91
TN0008000812;BTA 7,5% 13/12/2028;539;0,563;10;7,91
TN0008000812;BTA 7,5% 13/12/2028;1434;1,5;60;8,25
TN0008000770;BTA 7,3% Decembre 2027;2040;1,976;238;8,91
TN0008000770;BTA 7,3% Decembre 2027;3900;3,777;238;8,91
TN0008000762;BTA 8% Novembre 2030;427;0,407;217;8,91
TN0008000812;BTA 7,5% 13/12/2028;13500;12,878;244;8,91
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;16000;1,6;182;9,15
TN0008000796;BTA 7,5% Janvier 2028;1000;0,961;286;8,91
TN0008000812;BTA 7,5% 13/12/2028;4194;4,001;28;9,1
TN0008000812;BTA 7,5% 13/12/2028;6814;6,5;28;9,1
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1900;0,2;27;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5928;0,624;21;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14248;1,5;7;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;13299;1,4;10;8,91
TNX0K9990B08;EMP NAT 2024 T2 CB TF;2000;0,2;32;8,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4000;0,4;32;8,25
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8000;0,8;12;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;8000;0,8;13;8,99
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000;1,0;31;9,53
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;58000;5,8;13;8,99
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;2375;0,25;10;7,41
TN0008000663;BTA 7,5% Juillet 2032;378;0,4;31;7,5
