ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN9FK1JVMO04;BTCT 52 semaines 04052026;90000;83,388;32;8,0
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;58000;5,8;18;8,6
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;10000;1,0;9;8,6
TN0008000762;BTA 8% Novembre 2030;478;0,5;30;7,75
TN0008000721;BTA 7,2% Fevrier 2027;977;1,0;179;7,8
TNPDPODY2398;EMP NAT 2024 T3 CC TF;35000;3,5;9;7,1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;30000;3,0;9;7,1
TN0HHORW0CG7;BTCT 52 semaines 19052026;2370;2,37;330;8,02
TN0008000606;BTA 6,7% Avril 2028;3175;3,0;10;7,5
TN0008000622;BTA 6,3% Mars 2026;15019;15,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849;1,0;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849;1,0;21;8,5
TN0008000622;BTA 6,3% Mars 2026;4005;4,0;30;8,5
TN0008000655;BTA 6,6% Mars 2027;361;0,351;30;8,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8864;0,9;91;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;41363;4,2;30;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;5909;0,6;7;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78786;8,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4925;0,5;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;37424;3,8;29;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9849;1,0;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19697;2,0;16;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;6894;0,7;14;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24621;2,5;18;8,5
TN0008000812;BTA 7,5% 13/12/2028;3450;3,7;10;7,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;27576;2,8;30;8,5
