ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;65000;6,5;31;9,95
TN0008000838;EMP NAT T1 2021 CB;16500;1,65;10;9,14
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;6450;0,701;20;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;20000;2,0;101;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;10000;1,0;101;9,1
TNX0K9990B08;EMP NAT 2024 T2 CB TF;18842;2,0;31;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;56526;6,0;19;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;18842;2,0;4;8,99
TN0008000812;BTA 7,5% 13/12/2028;1659;1,7;20;8,25
TN0008000606;BTA 6,7% Avril 2028;3108;3,001;80;8,75
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;50000;5,0;17;9,2
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;59633;60,0;31;8,45
TN0008000606;BTA 6,7% Avril 2028;8584;9,0;31;9,5
TN0008000770;BTA 7,3% Decembre 2027;994;1,0;31;8,1
TN0008000747;BTA 7,2% Mai 2027;12543;12,5;31;8,49
TN0008000747;BTA 7,2% Mai 2027;2107;2,1;31;8,49
TN0008000747;BTA 7,2% Mai 2027;14550;14,5;31;8,49
TN0008000747;BTA 7,2% Mai 2027;382;0,4;19;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;23654;23,799;7;8,15
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;15000;1,5;31;9,0
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4711;0,5;20;7,49
TN3C6DVEWM76;EMP NAT 2023 T1 CB TV;80000;8,0;14;9,3
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;67000;6,7;17;9,95
TNX0K9990B08;EMP NAT 2024 T2 CB TF;15000;1,5;83;9,1
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;25000;2,5;150;9,1
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;15000;1,5;150;9,1
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;70000;7,0;60;8,99
TNRGVSC8DE36;EMP NAT 2022 T3 CB TF;58371;6,0;90;8,75
TN0008000580;BTA 6,3% Octobre 2026;346;0,351;56;7,99
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;200000;20,0;84;9,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;56526;6,0;20;8,99
TNLRQIP0OJY4;BTA 9% septembre 2029;7019;7,001;31;8,99
TNX0K9990B08;EMP NAT 2024 T2 CB TF;65947;7,0;31;8,99
TNLRQIP0OJY4;BTA 9% septembre 2029;8021;8,0;31;8,99
TN0008000747;BTA 7,2% Mai 2027;8027;7,999;31;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;44709;4,5;31;8,99
TN0008000812;BTA 7,5% 13/12/2028;7807;8,0;13;8,25
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49677;5,0;10;8,99
TN0008000812;BTA 7,5% 13/12/2028;6831;7,0;18;8,25
TN0008000812;BTA 7,5% 13/12/2028;7319;7,5;14;8,25
TN0008000812;BTA 7,5% 13/12/2028;3416;3,5;17;8,25
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;37754;3,8;336;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;26826;2,7;32;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29806;3,0;40;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49677;5,0;20;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;49677;5,0;31;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;13914;14,0;91;9,15
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;9938;9,999;31;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;24847;25,0;40;8,99
