ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;495;0,499;50;8,4
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;991;0,999;59;8,4
TN0008000838;EMP NAT T1 2021 CB;16500;1,65;10;9,09
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;5000;0,5;326;9,4
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49491;5,0;10;8,99
TN0008000812;BTA 7,5% 13/12/2028;2140;2,0;332;9,64
TN0008000622;BTA 6,3% Mars 2026;35236;36,0;30;8,84
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;5000;0,5;14;9,6
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;108879;11,0;10;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4950;0,5;10;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14848;1,5;10;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2970;0,3;15;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;98981;10,0;30;8,99
TNXJGTXAROH4;BTA 9,90% 26 décembre 2034;25487;25,699;7;8,15
TN0008000721;BTA 7,2% Fevrier 2027;4469;5,0;9;8,25
TN0008000721;BTA 7,2% Fevrier 2027;5363;6,0;16;8,25
TN0008000721;BTA 7,2% Fevrier 2027;3129;3,5;18;8,25
TN0008000721;BTA 7,2% Fevrier 2027;6257;7,0;10;8,25
TN0008000721;BTA 7,2% Fevrier 2027;2682;3,0;10;8,25
TN0008000721;BTA 7,2% Fevrier 2027;4469;5,0;10;8,25
TN0008000721;BTA 7,2% Fevrier 2027;447;0,5;10;8,25
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;49491;5,0;16;8,99
TN0008000655;BTA 6,6% Mars 2027;5027;5,001;16;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;69287;7,0;16;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4950;0,5;22;8,99
TN0008000622;BTA 6,3% Mars 2026;9494;10,0;35;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9899;1,0;8;8,99
