ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;20 000;2,000;30;8,000
TN0008000812;BTA 7,5% 13/12/2028;3 272;3,459;15;7,500
TN0008000812;BTA 7,5% 13/12/2028;585;0,618;15;7,500
TN0008000812;BTA 7,5% 13/12/2028;536;0,566;15;7,500
TN0008000606;BTA 6,7% Avril 2028;6 115;6,140;10;7,500
TN0008000770;BTA 7,3% Decembre 2027;874;0,900;31;7,750
TN0008000796;BTA 7,5% Janvier 2028;30 189;30,800;30;8,750
TN0008000739;BTA 7,4% Fevrier 2030;1 229;1,250;31;7,750
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;60 000;6,000;11;8,600
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;50 500;5,050;10;8,600
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;14 500;1,450;10;8,600
TN0008000796;BTA 7,5% Janvier 2028;16 060;15,600;91;8,510
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;32 000;3,200;259;9,750
TNN50G7PX8W5;EMP NAT 2023 T2 CB TV;30 500;3,050;10;8,750
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 600;1,000;30;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19 200;2,000;17;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14 400;1,500;7;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;36 480;3,800;31;8,500
TN0008000796;BTA 7,5% Janvier 2028;1 029;1,000;30;8,500
TN0008000796;BTA 7,5% Janvier 2028;2 059;2,000;17;8,500
TNGCLJS7FYQ7;EMP NAT 2024 T4 CC TF;10 000;1,000;63;8,350
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;6 240;0,650;14;8,500
TN0008000705;BTA 6,5% Juin 2025;161;0,170;10;7,500
TN0008000705;BTA 6,5% Juin 2025;171;0,181;10;7,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;86 400;9,000;21;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;11 520;1,200;10;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;76 800;8,000;10;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 434;1,500;23;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 434;1,500;38;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;57 733;6,000;37;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;7 698;0,800;21;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;9 600;1,000;11;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;76 977;8,000;29;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;134 710;14,000;18;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;6 736;0,700;50;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;8 949;0,930;11;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;14 434;1,500;21;8,500
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;76 977;8,000;24;8,500
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;48 000;5,000;10;8,500
TN0008000796;BTA 7,5% Janvier 2028;3 088;2,999;91;8,500
TN0008000770;BTA 7,3% Decembre 2027;243;0,250;31;7,750
