ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000663;BTA 7,5% Juillet 2032;935;1,0;5;8,5
TN0008000747;BTA 7,2% Mai 2027;3139;3,159;12;7,25
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;88000;8,8;18;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14763;1,5;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;49209;5,0;12;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;101901;10,354;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;78734;8,0;17;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;11811;1,2;17;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;8858;0,9;12;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9842;1,0;333;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;14763;1,5;7;8,5
TN0008000762;BTA 8% Novembre 2030;8172;8,0;17;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4921;0,5;3;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;4921;0,5;10;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;24605;2,5;31;8,5
TN0008000812;BTA 7,5% 13/12/2028;911;0,977;10;7,5
