ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;178,0;0,181;11,0;7,99
TN0008000721;BTA 7,2% Fevrier 2027;994,0;1,0;337,0;8,3
TN0008000606;BTA 6,7% Avril 2028;942,0;1,0;11,0;8,99
TN0008000606;BTA 6,7% Avril 2028;17,0;0,017;31,0;8,0
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;2928,0;0,3;15,0;8,99
TN0008000606;BTA 6,7% Avril 2028;85,0;0,083;31,0;8,0
TN0008000606;BTA 6,7% Avril 2028;739,0;0,726;31,0;8,0
TNCYAUILJ413;BTA 9,87% 08 Janvier 2032;168,0;0,171;11,0;7,99
TN54R4G06T00;ENDA TAMWEEL 2023-1 CA TF;10000,0;0,8;11,0;9,09
TNRS9CVT3SJ7;EMP NAT 2023 T3 CB TV;70000,0;7,0;91,0;8,99
TN46TGZRABR7;TAYSIR 2023-1 TV;20000,0;1,6;31,0;9,64
TN0008000838;EMP NAT T1 2021 CB;15000,0;1,5;31,0;9,64
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;97720,0;10,0;10,0;8,99
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;12000,0;1,2;14,0;9,1
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19520,0;2,0;18,0;8,99
TN0008000747;BTA 7,2% Mai 2027;1974,0;2,0;18,0;8,99
TN0008000812;BTA 7,5% 13/12/2028;531,0;0,552;14,0;7,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;19520,0;2,0;10,0;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14640,0;1,5;10,0;8,99
