ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000622;BTA 6,3% Mars 2026;3013;3,0;6;7,0
TNN34MAL82X0;MICROCRED 2024-1 TF;20000;2,0;30;9,25
TNX0K9990B08;EMP NAT 2024 T2 CB TF;69278;7,0;20;8,5
TN0008000812;BTA 7,5% 13/12/2028;1873;2,0;8;7,5
TN0008000812;BTA 7,5% 13/12/2028;3745;4,0;8;7,5
TN0008000663;BTA 7,5% Juillet 2032;563;0,6;29;8,5
TNMCPXLL1EE2;EMP NAT 2023 T4 CB TV;86000;8,6;17;8,6
TNX0K9990B08;EMP NAT 2024 T2 CB TF;11877;1,2;8;8,5
TN0008000739;BTA 7,4% Fevrier 2030;2130;1,999;240;7,95
TNX0K9990B08;EMP NAT 2024 T2 CB TF;9897;1,0;9;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;39588;4,0;9;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;19794;2,0;22;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;46516;4,7;16;8,5
TNX0K9990B08;EMP NAT 2024 T2 CB TF;98969;10,0;22;8,5
TN0008000762;BTA 8% Novembre 2030;4831;4,701;16;8,5
TN0008000762;BTA 8% Novembre 2030;12333;12,001;22;8,5
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000;1,0;9;8,6
