ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN0008000721;BTA 7,2% Fevrier 2027;20501;20,0;30;8,25
TN0008000762;BTA 8% Novembre 2030;6304;6,0;92;8,5
TN0008000747;BTA 7,2% Mai 2027;563;0,6;8;8,91
TN0008000762;BTA 8% Novembre 2030;484;0,5;181;7,8
TN0008000580;BTA 6,3% Octobre 2026;2535;2,501;21;7,5
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5703;0,6;8;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;142575;15,0;10;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;23763;2,5;30;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;5703;0,6;10;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;24961;2,626;24;8,41
TN0008000812;BTA 7,5% 13/12/2028;536;0,56;10;7,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14258;1,5;10;8,91
