ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;24313;2,5;10;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;7781;0,8;10;8,99
TN0008000747;BTA 7,2% Mai 2027;1316;1,4;31;8,9
TN0008000747;BTA 7,2% Mai 2027;1222;1,3;31;8,9
TN0008000747;BTA 7,2% Mai 2027;639;0,68;31;8,9
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;4863;0,5;31;8,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;972;0,1;32;8,99
TN0008000622;BTA 6,3% Mars 2026;10200;10,0;300;7,99
TNBII1MJCEF3;EMP NAT 2023 T4 CB TF;14588;1,5;10;8,99
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;10000;1,0;299;9,0
TNPDPODY2398;EMP NAT 2024 T3 CC TF;10000;1,0;158;8,75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;15000;1,5;158;8,75
TNPDPODY2398;EMP NAT 2024 T3 CC TF;8000;0,8;116;9,14
TN0008000705;BTA 6,5% Juin 2025;4755;5,001;10;8,99
TN0008000705;BTA 6,5% Juin 2025;2853;3,0;12;8,99
TN0008000622;BTA 6,3% Mars 2026;3878;3,79;270;7,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;136324;14,0;38;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;5843;0,6;38;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;17528;1,8;38;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;4869;0,5;38;8,99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;92000;9,2;18;9,1
TNPDPODY2398;EMP NAT 2024 T3 CC TF;12000;1,2;18;9,1
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;19475;2,0;21;8,99
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;29213;3,0;21;8,99
TN0008000747;BTA 7,2% Mai 2027;1967;2,001;21;8,99
TN0008000747;BTA 7,2% Mai 2027;2950;3,001;21;8,99
TNHG2VXQ3BG0;EMP NAT 2022 T1 CB TF;19026;1,5;354;8,99
