ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;6000;0,6;90;8,75
TN0008000705;BTA 6,5% Juin 2025;951;1,001;29;8,5
TN0008000838;EMP NAT T1 2021 CB;25000;2,5;4;8,99
TNPDPODY2398;EMP NAT 2024 T3 CC TF;2500;0,25;13;8,99
TNNR35P1MXQ0;BTC 52 semaines 02052025;90000;89,69;11;8,0
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;47390;5,0;13;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;23695;2,5;32;8,91
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;26538;2,8;15;8,41
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;1896;0,2;12;7,41
TN0008000812;BTA 7,5% 13/12/2028;628;0,6;11;9,23
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;85000;8,5;12;8,99
