ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
ISIN;Libelle;;;;
TN0008000739;BTA 7,4% Fevrier 2030;2 265;2,300;61;8,750
TN0008000739;BTA 7,4% Fevrier 2030;2 265;2,300;19;7,500
TN0008000739;BTA 7,4% Fevrier 2030;5 712;5,800;12;7,500
TN0008000606;BTA 6,7% Avril 2028;5 635;5,653;30;9,100
TN0008000663;BTA 7,5% Juillet 2032;235;0,250;29;7,500
TN0008000812;BTA 7,5% 13/12/2028;285;0,300;61;8,250
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14 148;1,500;2;8,910
TN0008000812;BTA 7,5% 13/12/2028;614;0,647;12;7,910
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;48 201;5,000;2;8,910
TN9092FJVKK8;EMP NAT 2024 T4 CB TF;86 762;9,000;16;8,910
TN0008000838;EMP NAT T1 2021 CB;6 500;0,650;30;8,290
TN0008000838;EMP NAT T1 2021 CB;3 800;0,380;40;8,290
TN0008000838;EMP NAT T1 2021 CB;3 100;0,310;40;8,290
TNX0K9990B08;EMP NAT 2024 T2 CB TF;80 000;8,000;13;8,990
TNPDPODY2398;EMP NAT 2024 T3 CC TF;2 500;0,250;14;8,990
TN0008000762;BTA 8% Novembre 2030;12 517;12,000;23;8,500
TN0008000762;BTA 8% Novembre 2030;12 517;12,000;27;8,500
TN0008000762;BTA 8% Novembre 2030;12 517;12,000;30;8,500
TN0008000762;BTA 8% Novembre 2030;3 860;3,701;27;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;113 178;12,000;23;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;14 148;1,500;27;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;113 178;12,000;30;8,500
TN0008000622;BTA 6,3% Mars 2026;991;1,000;12;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;133 927;14,200;27;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;925;0,098;61;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;94 315;10,000;9;8,910
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;9 432;1,000;26;8,910
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;28 295;3,000;22;8,500
TNFC8O7A98F4;EMP NAT 2024 T3 CB TF;37 726;4,000;2;8,910
