ISIN;Libellé;Nombre de Titres;Montant;Echéance;Taux
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;52000;5,2;15;8,6
TN2781ZB9E10;EMP NAT 2024 T1 CB TV;10000;1,0;12;8,6
TNPDPODY2398;EMP NAT 2024 T3 CC TF;35000;3,5;5;7,1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;48060;5,0;30;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;48060;5,0;90;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19224;2,0;12;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14418;1,5;12;8,5
TN0008000812;BTA 7,5% 13/12/2028;1020;1,0;34;8,5
TNPDPODY2398;EMP NAT 2024 T3 CC TF;30000;3,0;5;7,1
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;14418;1,5;30;8,5
TNYGOCQ2WZX6;BH LEASING 2023-1;6101;0,37;30;7,0
TN0008000762;BTA 8% Novembre 2030;11129;11,001;30;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;86507;9,0;30;8,5
TNUWXR58DVH5;EMP NAT 2024 T1 CB TF;19224;2,0;30;8,5
TN0008000838;EMP NAT T1 2021 CB;18700;2,0;1;7,5
TN0008000838;EMP NAT T1 2021 CB;27700;3,0;1;7,5
